service_member_id,callsign_id,callsign,display_name,member_class,current_role,command_layer,lifecycle_state,readiness_state,legacy_alias,source_lineage
ATA-VINNIE-000,ATA-SM-VINNIE-001,@VINNIE,Vinnie,ai_agent,Virtual Assistant Operations Specialist,Academy Business Services,active,ready,,"AI Training Academy (TM) Canonical Identity, Role Governance and Production Control Manual, R2.0, effective 2026-08-09 (Controlled Replacement Baseline, ATA-DEC-ID-2026-001), Section 5: Canonical Personnel Roster - 66 Controlled Identities. legacy_alias not assigned: the source states legacy ATA-SM-001..066 values exist as migration aliases but does not give an explicit callsign-to-number mapping."
ATA-BOBBY-000,ATA-SM-BOBBY-001,@BOBBY,Bobby,ai_agent,Business Strategy & Growth Operations Advisor,Academy Business Services,active,ready,,"AI Training Academy (TM) Canonical Identity, Role Governance and Production Control Manual, R2.0, effective 2026-08-09 (Controlled Replacement Baseline, ATA-DEC-ID-2026-001), Section 5: Canonical Personnel Roster - 66 Controlled Identities. legacy_alias not assigned: the source states legacy ATA-SM-001..066 values exist as migration aliases but does not give an explicit callsign-to-number mapping."
ATA-CASSIE-000,ATA-SM-CASSIE-001,@CASSIE,Cassie,ai_agent,Client Onboarding & Activation Specialist,Academy Business Services,active,ready,,"AI Training Academy (TM) Canonical Identity, Role Governance and Production Control Manual, R2.0, effective 2026-08-09 (Controlled Replacement Baseline, ATA-DEC-ID-2026-001), Section 5: Canonical Personnel Roster - 66 Controlled Identities. legacy_alias not assigned: the source states legacy ATA-SM-001..066 values exist as migration aliases but does not give an explicit callsign-to-number mapping."
ATA-CEEVEE-000,ATA-SM-CEEVEE-001,@CEEVEE,Ceevee,ai_agent,CV Enhancement & Career Document Specialist,Academy Business Services,active,ready,,"AI Training Academy (TM) Canonical Identity, Role Governance and Production Control Manual, R2.0, effective 2026-08-09 (Controlled Replacement Baseline, ATA-DEC-ID-2026-001), Section 5: Canonical Personnel Roster - 66 Controlled Identities. legacy_alias not assigned: the source states legacy ATA-SM-001..066 values exist as migration aliases but does not give an explicit callsign-to-number mapping."
ATA-EMMI-000,ATA-SM-EMMI-001,@EMMI,Emmi,ai_agent,Spreadsheet Learning & Data Operations Mentor,Academy Business Services,active,ready,,"AI Training Academy (TM) Canonical Identity, Role Governance and Production Control Manual, R2.0, effective 2026-08-09 (Controlled Replacement Baseline, ATA-DEC-ID-2026-001), Section 5: Canonical Personnel Roster - 66 Controlled Identities. legacy_alias not assigned: the source states legacy ATA-SM-001..066 values exist as migration aliases but does not give an explicit callsign-to-number mapping."
ATA-INTI-000,ATA-SM-INTI-001,@INTI,Inti,ai_agent,Interview Readiness & Evaluation Specialist,Academy Business Services,active,ready,,"AI Training Academy (TM) Canonical Identity, Role Governance and Production Control Manual, R2.0, effective 2026-08-09 (Controlled Replacement Baseline, ATA-DEC-ID-2026-001), Section 5: Canonical Personnel Roster - 66 Controlled Identities. legacy_alias not assigned: the source states legacy ATA-SM-001..066 values exist as migration aliases but does not give an explicit callsign-to-number mapping."
ATA-CINDY-000,ATA-SM-CINDY-001,@CINDY,Cindy,ai_agent,Customer Service Operations Specialist,Academy Support Operations,active,ready,,"AI Training Academy (TM) Canonical Identity, Role Governance and Production Control Manual, R2.0, effective 2026-08-09 (Controlled Replacement Baseline, ATA-DEC-ID-2026-001), Section 5: Canonical Personnel Roster - 66 Controlled Identities. legacy_alias not assigned: the source states legacy ATA-SM-001..066 values exist as migration aliases but does not give an explicit callsign-to-number mapping."
ATA-VICTOR-000,ATA-SM-VICTOR-001,@VICTOR,Victor,ai_agent,Product Support & Client Query Resolution Specialist,Academy Support Operations,active,ready,,"AI Training Academy (TM) Canonical Identity, Role Governance and Production Control Manual, R2.0, effective 2026-08-09 (Controlled Replacement Baseline, ATA-DEC-ID-2026-001), Section 5: Canonical Personnel Roster - 66 Controlled Identities. legacy_alias not assigned: the source states legacy ATA-SM-001..066 values exist as migration aliases but does not give an explicit callsign-to-number mapping."
ATA-ADAM-000,ATA-SM-ADAM-001,@ADAM,Adam,ai_agent,Ad Performance & Conversion Optimization Specialist,Academy Growth Operations,active,ready,,"AI Training Academy (TM) Canonical Identity, Role Governance and Production Control Manual, R2.0, effective 2026-08-09 (Controlled Replacement Baseline, ATA-DEC-ID-2026-001), Section 5: Canonical Personnel Roster - 66 Controlled Identities. legacy_alias not assigned: the source states legacy ATA-SM-001..066 values exist as migration aliases but does not give an explicit callsign-to-number mapping."
ATA-BARBARA-000,ATA-SM-BARBARA-001,@BARBARA,Barbara,ai_agent,SEO Content & Blog Production Specialist,Academy Growth Operations,active,ready,,"AI Training Academy (TM) Canonical Identity, Role Governance and Production Control Manual, R2.0, effective 2026-08-09 (Controlled Replacement Baseline, ATA-DEC-ID-2026-001), Section 5: Canonical Personnel Roster - 66 Controlled Identities. legacy_alias not assigned: the source states legacy ATA-SM-001..066 values exist as migration aliases but does not give an explicit callsign-to-number mapping."
